幷|bìnɡ bīnɡ
垪|binɡ
庰|bìnɡ pínɡ
倂|bìnɡ
栤|bìnɡ
病|bìnɡ
竝|bìnɡ
偋|bìnɡ bǐnɡ
傡|bìnɡ
寎|bìnɡ bǐnɡ
摒|bìnɡ
誁|bìnɡ
鮩|bìnɡ
靐|bìnɡ
癶|bō
拨|bō
波|bō
癷|uu
玻|bō
剥|bāo bō
盋|bō
砵|bō
袚|fú
袯|bó
钵|bō
饽|bō
啵|bo
紴|bì bō
缽|bō
脖|bó
菠|bō
袰|uu
碆|bō
鉢|bō
僠|bō
嶓|bō
撥|bō
播|bō
餑|bō
磻|bō pán
蹳|bō
驋|bō
鱍|bō
仢|bó
伯|bó bǎi
孛|bèi
犻|fèi pèi
驳|bó
帛|bó
泊|bó pō
狛|bó
瓝|bó
苩|bó pā
侼|bó
勃|bèi bó
柭|bā biē bó fú pèi
胉|bó
郣|bó
亳|bó
挬|bó
浡|bó
瓟|bó páo
秡|bó
钹|bó
铂|bó
桲|bó
淿|bó
舶|bó
博|bó
渤|bó
湐|pò
葧|bó
鹁|bó
愽|bó
搏|bó
猼|bó pò
鈸|bó
鉑|bó
馎|bó
鲌|bà bó
僰|bó
煿|bó
牔|bó
箔|bó
膊|bó
艊|bó
馛|bó
駁|bó
踣|bó
鋍|bó
镈|bó
壆|bó jué xué
薄|báo bó bò
馞|bó
駮|bó
鮊|bà bó
襏|bó
豰|hù
嚗|bào bó pào
懪|bó
礡|bō
簙|bó
鎛|bó
餺|bó
鵓|bó
犦|bào
髆|bó
髉|bó jué
欂|bó
襮|bó
礴|bó
鑮|bó
蚾|bǒ pí
跛|bǒ
箥|pǒ
簸|bò bǒ
孹|bò
擘|bāi bò
檗|bò
糪|bó
譒|bò
蘗|bò
蔔|bo
峬|bū
庯|bū
逋|bū
钸|bū
晡|bū
鈽|bū
誧|bū
餔|bū
轐|bú
醭|bú
卜|bo bǔ
卟|bǔ
补|bǔ
哺|bǔ
捕|bǔ
補|bǔ
鳪|bú
獛|pú
鵏|bū
鸔|bǔ
不|bù bú fǒu
布|bù
佈|bù
吥|bù
步|bù
咘|bù
怖|bù
歨|bù
歩|bù
钚|bù
勏|bù
埗|bù
悑|bù
捗|bù pú zhì
荹|bù
部|bù
埠|bù
瓿|bù
鈈|bù
廍|bù
蔀|bù
踄|bù
郶|bù
篰|bù
餢|bù
簿|bó bù
嚓|cā chā
擦|cā
攃|cā sǎ
礤|cǎ
礸|cǎ
遪|cà
囃|cà zá
偲|cāi sī
猜|cāi
才|cái
材|cái
财|cái
財|cái
戝|zéi
裁|cái
纔|cái
采|cǎi cài
倸|cǎi
埰|cài cǎi
婇|cǎi
寀|cài cǎi
彩|cǎi
採|cǎi
睬|cǎi
跴|cǎi
綵|cǎi
踩|cǎi
菜|cài
棌|cǎi
蔡|cài
縩|cài
乲|cB lo
参|cān cēn sān shēn
參|cān cēn sān shēn
叄|cān cēn sān shēn
飡|cān
骖|cān
叅|cān cēn sān shēn
喰|cān qī sūn
湌|cān
傪|càn cān
嬠|cān
餐|cān
驂|cān
残|cán
蚕|cán
惭|cán
殘|cán
慚|cán
蝅|cán
慙|cán
蠶|cán
蠺|cán
惨|cǎn
朁|cǎn jiàn qián
慘|cǎn
噆|zǎn
憯|cǎn
穇|cǎn cēn shān
黪|cǎn
黲|cǎn
灿|càn
粲|càn
儏|cBn
澯|càn
薒|càn
燦|càn
璨|càn
謲|càn
爘|càn
仓|cānɡ
仺|cānɡ
伧|cānɡ chen
沧|cānɡ
苍|cānɡ
鸧|cānɡ
倉|cānɡ
舱|cānɡ
傖|cānɡ chen
凔|cānɡ
嵢|cānɡ
滄|cānɡ
獊|cānɡ
蒼|cānɡ
濸|cānɡ
艙|cānɡ
螥|cānɡ
罉|chēnɡ
鶬|cānɡ qiānɡ
匨|cánɡ zānɡ
蔵|zànɡ
藏|cánɡ zànɡ
欌|cánɡ
鑶|cánɡ
賶|cànɡ
撡|cāo
操|cāo
糙|cāo
曺|cáo
曹|cáo
嘈|cáo
嶆|cáo
漕|cáo
蓸|cáo
槽|cáo
褿|cáo
艚|cáo
螬|cáo
鏪|cáo
艹|ǎo
艸|cǎo
草|cǎo
愺|cǎo
懆|cǎo sào sāo
騲|cǎo
肏|cào
鄵|cào
襙|cào
鼜|cào
冊|cè
册|cè
侧|cè zè zhāi
厕|cè
恻|cè
拺|cè chuò sè
测|cè
荝|cè
敇|cè
畟|cè jì
側|cè zè zhāi
厠|cè
笧|cè
粣|cè sè
萗|cè
廁|cè
惻|cè
測|cè
策|cè
萴|cè
筞|cè
筴|cè
蓛|cè
墄|qī
箣|cè
憡|cè
簎|cè jí
嵾|cēn
膥|cūn
岑|cén
梣|chén
涔|cén
笒|cén hán jìn
噌|cēnɡ
层|cénɡ
層|cénɡ
嶒|cénɡ
竲|cénɡ zēnɡ
驓|cénɡ
蹭|cènɡ
硛|ce o ke
硳|ceok
岾|ceom
猠|ceon
乽|zB ri
叉|chá chà chǎ chā
扠|chā
扱|chā qì xī
芆|chā chāi
杈|chà chā
肞|chāi
臿|chā
挿|chā
訍|chài
偛|chā
嗏|chB
插|chā
揷|chā
馇|chā
銟|chā
锸|chā
艖|chā
疀|chā
鍤|chā
鎈|chā cuō
餷|chā
秅|chá ná
垞|chá chā
查|chá zhā
査|chá zhā
茬|chá
茶|chá
嵖|chá
搽|chá
猹|chá
靫|chá
槎|chá
詧|chá
察|chá
碴|chá chā
褨|suǒ
檫|chá
衩|chà
蹅|chǎ
镲|chǎ
鑔|chǎ
奼|chà
汊|chà
岔|chà
侘|chà
诧|chà
剎|chà shā
姹|chà
差|chà chā chāi cī
紁|chà chǎ
詫|chà
拆|cā chāi
钗|chāi
釵|chāi
犲|chái
侪|chái
柴|chái
祡|chái
豺|chái
喍|chái
儕|chái
茝|chǎi
虿|chài
勑|chì
袃|chài
瘥|chài cuó
蠆|chài
囆|chài
辿|chān
觇|chān
梴|chān yán
掺|càn chān shǎn
搀|chān
覘|chān
裧|chān
摻|càn chān shǎn
鋓|chān
幨|chàn chān
襜|chān
攙|chān
婵|chán
谗|chán
孱|càn chán
棎|chán
湹|chán
禅|chán shàn
馋|chán
嬋|chán
煘|chán
缠|chán
僝|chán zhàn zhuàn
獑|chán
蝉|chán
蝊|uu
誗|chán
鋋|chán
儃|chán shàn tǎn
廛|chán
潹|chán
潺|chán
緾|chán
磛|chán
禪|chán shàn
毚|chán
鄽|chán
镡|xín
瀍|chán
蟬|chán
儳|chán chàn
劖|chán
繵|chán dàn tán
蟾|chán
酁|chán
嚵|chán
壥|chán
巉|chán
瀺|chán
欃|chán zhàn
纏|chán
纒|chán
躔|chán
镵|chán
艬|chán
讒|chán
鑱|chán
饞|chán
产|chǎn
刬|chàn chǎn
旵|chǎn
丳|chǎn
浐|chǎn
剗|chàn chǎn
谄|chǎn
產|chǎn
産|chǎn
铲|chǎn
阐|chǎn
蒇|chǎn
剷|chǎn
嵼|yǎn
摌|chǎn sùn
滻|chǎn
幝|chàn chǎn
蕆|chǎn
諂|chǎn
閳|chǎn
燀|chàn chǎn dǎn
簅|chǎn
冁|chǎn
繟|chán chǎn
醦|chǎn chěn
譂|chǎn
鏟|chǎn
闡|chǎn
囅|chǎn
灛|chǎn
讇|chǎn
忏|chàn
硟|chàn
摲|cán chàn
懴|chàn
颤|chàn zhàn
懺|chàn
羼|chàn
韂|chàn
顫|chàn zhàn
伥|chānɡ
昌|chānɡ
倀|chānɡ
娼|chānɡ
淐|chānɡ
猖|chānɡ
菖|chānɡ
阊|chānɡ
晿|chēnɡ
椙|chānɡ
琩|chānɡ
裮|chānɡ
锠|chānɡ
錩|chānɡ
閶|chānɡ
鲳|chānɡ
鯧|chānɡ
鼚|chānɡ
长|chánɡ zhǎnɡ
仧|chánɡ zhǎnɡ
兏|chánɡ zhǎnɡ
肠|chánɡ
苌|chánɡ
長|chánɡ zhǎnɡ
镸|chánɡ
尝|chánɡ
偿|chánɡ
常|chánɡ
徜|chánɡ
瓺|chánɡ
萇|chánɡ
甞|chánɡ
腸|chánɡ
嘗|chánɡ
塲|chánɡ chǎnɡ
嫦|chánɡ
瑺|chánɡ
膓|chánɡ
鋿|shǎnɡ
償|chánɡ
嚐|chánɡ
蟐|chánɡ
鲿|chánɡ
鏛|shǎnɡ
鱨|chánɡ
厂|chǎnɡ hàn ān
场|chǎnɡ chɑnɡ chánɡ
昶|chǎnɡ
惝|chǎnɡ tǎnɡ
場|chɑnɡ chánɡ chǎnɡ
敞|chǎnɡ
僘|chǎnɡ
厰|chǎnɡ
廠|chǎnɡ
氅|chǎnɡ
鋹|chǎnɡ
怅|chànɡ
玚|chànɡ yánɡ
畅|chànɡ
倡|chànɡ chānɡ
鬯|chànɡ
唱|chànɡ
悵|chànɡ
瑒|chànɡ yánɡ
暢|chànɡ
畼|chànɡ
誯|chànɡ
韔|chànɡ
抄|chāo
弨|chāo
怊|chāo
欩|chāo
钞|chāo
訬|chāo
焯|chāo zhuō
超|chāo
鈔|chāo
繛|chuò chuō
牊|cháo
晁|cháo
巢|cháo
巣|cháo
朝|cháo zhāo
鄛|cháo
鼌|cháo
漅|cháo
嘲|cháo zhāo
樔|cháo chāo jiǎo
潮|cháo
窲|cháo
罺|cháo
轈|cháo
鼂|cháo
謿|cháo
吵|chǎo chāo
炒|chǎo
眧|chǎo
煼|chǎo
麨|chǎo
巐|chǎo
仦|chào
仯|chào miǎo
耖|chào
觘|chào
车|chē jū
伡|chē jū
車|chē jū
俥|chē jū
砗|chē
唓|chē
莗|chē
硨|chē
蛼|chē
扯|chě
偖|chě
撦|chě
奲|chě duǒ
屮|cǎo chè
彻|chè
坼|chè
迠|chè
烢|chè
烲|chè xiè
聅|chè
掣|chè
硩|chè
頙|chè
徹|chè
撤|chè
澈|chè
勶|chè
瞮|chè
爡|chè
抻|chēn
郴|chēn
棽|chēn
琛|chēn
嗔|chēn
綝|chēn lín
瞋|chēn
諃|chēn
賝|chēn
謓|chēn
尘|chén
臣|chén
忱|chén
沉|chén
辰|chén chen
陈|chén
迧|chén
茞|chén
宸|chén
烥|chen
莀|chén
莐|chén
陳|chén
敐|chén
晨|chén
訦|chén
谌|chén
軙|chén
愖|chén dān xìn
揨|chénɡ
鈂|chén
煁|chén
蔯|chén
塵|chén
樄|chén
瘎|chén
霃|chén
螴|chén
諶|chén
薼|chén
麎|chén
曟|chén
鷐|chén
趻|chěn
硶|chěn
碜|chěn
墋|chěn
夦|chěn
磣|chěn
踸|chěn
贂|chěn
闯|chuǎnɡ
衬|chèn
疢|chèn
称|chèn chènɡ chēnɡ
龀|chèn
趁|chèn
趂|chèn
榇|chèn
稱|chèn chènɡ chēnɡ
齓|chèn
齔|chèn
儭|chèn
嚫|chèn
谶|chèn
櫬|chèn
襯|chèn
讖|chèn
阷|chēnɡ
泟|chēnɡ
虰|dīnɡ
柽|chēnɡ
爯|chèn chēnɡ
棦|chēnɡ
浾|chēnɡ
偁|chèn chēnɡ
蛏|chēnɡ
铛|chēnɡ dānɡ
牚|chènɡ chēnɡ
琤|chēnɡ
赪|chēnɡ
憆|chēnɡ
摚|chēnɡ
靗|chēnɡ
撐|chēnɡ
撑|chēnɡ
緽|chēnɡ
橕|chēnɡ
瞠|chēnɡ
赬|chēnɡ
頳|chēnɡ
檉|chēnɡ
竀|chènɡ chēnɡ
穪|chèn chènɡ chēnɡ
蟶|chēnɡ
鏳|zhēnɡ
鏿|chēnɡ
饓|chēnɡ
鐺|chēnɡ dānɡ
丞|chénɡ
成|chénɡ
朾|chénɡ chēnɡ
呈|chénɡ
承|chénɡ
枨|chénɡ
诚|chénɡ
